Territorialidades,Índice de Theil-L 2010,Índice de Gini 2010,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Mortalidade até 5 anos de idade 2010,Probabilidade de sobrevivência até 40 anos 2010,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010,Probabilidade de sobrevivência até 60 anos 2010,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2010,Taxa de fecundidade total 2010,Razão de dependência 2010,Taxa de envelhecimento 2010,Renda per capita 2010
Barra de Santana (PB),"0,43","0,5","69,81",28,"30,16","93,53","0,567","0,526","0,747","0,465","81,52","0,629","0,254","1,82","58,33","10,94","211,08"
Barra de Santa Rosa (PB),"0,52","0,52","70,2","26,8","28,88","93,8","0,562","0,542","0,753","0,434","82,18","0,562","0,258","2,38","60,24","10,38","233,51"
Barra de São Miguel (PB),"0,37","0,45","68,7","31,5","33,99","92,74","0,572","0,584","0,728","0,44","79,59","0,59","0,245","2,47","55,17","10,07","302,44"
Bayeux (PB),"0,4","0,46","71,73","22,4","24,17","94,78","0,649","0,619","0,779","0,566","84,7","0,627","0,461","2,16","47,1","6,27","376,74"
Belém do Brejo do Cruz (PB),"0,39","0,46","71,72","22,4","24,18","94,78","0,578","0,55","0,779","0,451","84,7","0,565","0,288","2,2","52,69","9,44","245,71"
Belém (PB),"0,48","0,49","70,55","25,7","27,74","94,03","0,592","0,557","0,759","0,492","82,78","0,638","0,293","2,18","58,2","11,91","256,2"
Bernardino Batista (PB),"0,61","0,55","67,96",34,"36,67","92,2","0,558","0,526","0,716","0,462","78,28","0,594","0,279","2,32","66,67","8,03","211,04"
Boa Ventura (PB),"0,42","0,46","72,38","20,7","22,3","95,17","0,599","0,566","0,79","0,48","85,75","0,581","0,328","2,05","52,83","9,15","271,06"
Boa Vista (PB),"0,32","0,42","72,73","21,33","17,19","95,46","0,649","0,59","0,796","0,582","86,5","0,707","0,395","1,97","51,14","9,27","314,11"
Bom Jesus (PB),"0,46","0,5","70,72","25,2","27,23","94,14","0,597","0,584","0,762","0,477","83,05","0,592","0,309","2,3","58,52","10,13","303,29"
Bom Sucesso (PB),"0,42","0,45","70,14","26,9","29,06","93,76","0,592","0,558","0,752","0,494","82,09","0,62","0,313","2,07","53,88","12,29","257,9"
Bonito de Santa Fé (PB),"0,52","0,52","72,18","21,2","22,85","95,06","0,574","0,564","0,786","0,427","85,44","0,506","0,304","2,08","58,23","8,04","267,09"
Boqueirão (PB),"0,38","0,46","70,79",25,"27,01","94,19","0,607","0,592","0,763","0,496","83,17","0,585","0,356","2,16","54,55","9,1","319,11"
Borborema (PB),"0,48","0,5","69,99","27,4","29,58","93,65","0,558","0,544","0,75","0,426","81,82","0,541","0,264","2,63","64,76","9,8","236,01"
Brejo do Cruz (PB),"0,41","0,47","72,85","19,4",21,"95,45","0,597","0,575","0,798","0,463","86,48","0,589","0,287","2,24","51,36","8,57","287,2"
Brejo dos Santos (PB),"0,43","0,46","71,58","22,8","24,6","94,69","0,619","0,564","0,776","0,541","84,47","0,686","0,336","2,16","53,34","10,2","267,6"
Caaporã (PB),"0,42","0,47","70,41","26,2","28,21","93,94","0,602","0,565","0,757","0,509","82,53","0,607","0,357","2,5","55,84","5,25","268,46"
